job,website,company,salary
运维工程师,http://company.zhaopin.com/CC404703581.htm,新译信息科技(北京)有限公司,8000-15000
实施工程师,http://company.zhaopin.com/CC489043033.htm,华青融天(北京)技术股份有限公司深圳分公司,10000-15000
安全运维工程师,http://company.zhaopin.com/CC489043033.htm,华青融天(北京)技术股份有限公司深圳分公司,8000-15000
科技金融研究员,http://special.zhaopin.com/pagepublish/14524902/index.html,中山证券有限责任公司,15000-25000
嵌入式软件工程师（应届生）,http://company.zhaopin.com/P7/CC1453/7036/CC145370363.htm,萨基姆通讯(天津)有限公司深圳分公司,6001-8000
运维开发工程师,http://company.zhaopin.com/CC681981728.htm,深圳市悟云信息技术有限公司,6001-8000
深度学习算法工程师,http://company.zhaopin.com/CC419596331.htm,深圳市芊熠智能硬件有限公司,15000-30000
自动化测试工程师,http://special.zhaopin.com/pagepublish/16040791/index.html,深圳市汇合发展有限公司,6000-12000
ABAQUS二次开发工程师,http://company.zhaopin.com/CC211730510.htm,深圳市有限元科技有限公司,8000-16000
erlang(游戏）后端工程师,http://company.zhaopin.com/CC395095721.htm,北京微赢互动科技有限公司,10000-15000
数据分析师-00657,http://company.zhaopin.com/P10/CC1315/7709/CC131577094.htm,任子行网络技术股份有限公司,15001-20000
"unity开发学徒&nbsp;<a href=""http://e.zhaopin.com/products/1/detail.do"" target=""_blank"" title=""点击“顶”字，了解更多""><img src=""/assets/images/top.png"" border=""0""   align=""absmiddle"">&nbsp;<img src=""/assets/images/jp.gif"" border=""0"" align=""absmiddle"">",http://company.zhaopin.com/CZ608979220.htm,深圳美日中贸易有限公司,8001-10000
python-web开发,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%8D%8E%E5%82%B2%E6%95%B0%E6%8D%AE%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC353072427.htm,深圳市华傲数据技术有限公司,10000-18000
python软件开发工程师,http://company.zhaopin.com/CC211730510.htm,深圳市有限元科技有限公司,8000-16000
Python开发工程师,http://company.zhaopin.com/CC630615822.htm,深圳市华创科新科技有限公司,10001-15000
Python开发助理,http://company.zhaopin.com/CC515357132.htm,广州海度网络科技有限公司,4001-6000
后台开发工程师（python ）,http://company.zhaopin.com/%E5%8D%8E%E6%B6%A6%E7%BD%AE%E5%9C%B0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC358101529.htm,华润置地有限公司,10000-20000
python开发工程师（深圳）,http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,10001-15000
Python开发工程师（深圳）,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,10001-15000
自动化测试（Python）见习助理,http://company.zhaopin.com/CZ542450430.htm,深圳一朵云信息技术有限公司,2001-4000
python开发工程师,http://company.zhaopin.com/CC264636718.htm,500.com集团,10000-20000
C++/Python高级工程师,http://special.zhaopin.com/sz/2014/11026/gkjk011326,深圳市共济科技有限公司,20001-30000
高级研发工程师（Python方向）,http://company.zhaopin.com/%E4%BC%98%E8%B4%AD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC420891816.htm,优购科技有限公司,15000-25000
Python算法工程师助理包住,http://company.zhaopin.com/CC431607237.htm,深圳尚睿达信息技术有限公司,8001-10000
python开发工程师,http://company.zhaopin.com/CZ722312840.htm,深圳睿云智合科技有限公司,15000-30000
运营开发工程师（Python）,http://company.zhaopin.com/CZ447244520.htm,深圳市富途网络科技有限公司,15000-30000
python课程设计师,http://company.zhaopin.com/CC703291527.htm,深圳市编玩边学教育科技有限公司,10000-12000
Python开发工程师（深圳）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,8000-15000
python课程设计师/课程编辑/课程研发,http://company.zhaopin.com/CC703291527.htm,深圳市编玩边学教育科技有限公司,7000-12000
python编程教师,http://company.zhaopin.com/CC703291527.htm,深圳市编玩边学教育科技有限公司,12000-18000
Python后台架构师,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,10001-15000
Python高级工程师,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,10001-15000
Python游戏服务端工程师,http://company.zhaopin.com/CC604701727.htm,在线途游(北京)科技有限公司,15000-25000
高级Python工程师,http://company.zhaopin.com/CC620797421.htm,北京火币天下网络技术有限公司,25000-30000
Python 工程师,http://company.zhaopin.com/P8/CC1393/2027/CC139320276.htm,深圳市杰恩创意设计股份有限公司,10000-15000
python开发工程师,http://company.zhaopin.com/CZ605988220.htm,深圳趣凡网络科技有限公司,10001-15000
C++/Python/QT软件工程师,http://company.zhaopin.com/CZ896041960.htm,思力科(深圳)电子科技有限公司,12000-24000
Python 工程师,http://company.zhaopin.com/CZ256911880.htm,深圳前海壹互联科技投资有限公司,10000-20000
"大数据开发工程师（spark,python）",http://company.zhaopin.com/CZ256911880.htm,深圳前海壹互联科技投资有限公司,15001-20000
Python开发工程师（服务器）,http://company.zhaopin.com/CC253085637.htm,深圳英宝通广告有限公司,15000-30000
高级python,http://company.zhaopin.com/CZ413479080.htm,深圳德聚企业管理咨询有限公司,20000-40000
风控开发（Python）,http://company.zhaopin.com/CZ134415620.htm,深圳市盖威科技有限公司,20001-30000
风控后台开发（Python）,http://company.zhaopin.com/CZ134415620.htm,深圳市盖威科技有限公司,20001-30000
Python自动化测试,http://special.zhaopin.com/pagepublish/60722312/index.html,深圳市川石信息技术有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/CC298519281.htm,深圳市瑞驰信息技术有限公司,6000-12000
Python高级工程师 （后台开发）,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,15000-25000
Python后台架构师 （后台开发）,http://special.zhaopin.com/2017/shz/11034/shppw051221/,深圳市铺铺旺电子商务有限公司,15000-25000
数据运营分析师,http://company.zhaopin.com/CZ562598930.htm,深圳呱呱商务咨询服务有限公司,7500-15000
Paas平台开发运维工程师,http://company.zhaopin.com/CC289875931.htm,怡和祥云(北京)科技有限公司,15001-20000
人工智能（AI）专家,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BF%A1%E8%80%8C%E5%AF%8C%E4%BC%81%E4%B8%9A%E7%AE%A1%E7%90%86%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC145796638.htm,上海信而富企业管理有限公司,35000-70000
软件工程师,http://company.zhaopin.com/P5/CC0006/0124/CC000601245.htm,上海宝信软件股份有限公司深圳分公司,6000-10000
Java技术经理/架构师-363105,http://company.zhaopin.com/CZ606146420.htm,赛恩倍吉科技顾问(深圳)有限公司,15000-25000
C++开发工程师（社保+双休）,http://company.zhaopin.com/CC265748338.htm,深圳市尊视激光科技有限公司,8001-10000
测试工程师,http://company.zhaopin.com/CC600605824.htm,深圳派鲜科技有限公司,6000-8000
嵌入式系统测试工程师,http://company.zhaopin.com/P7/CC1439/2946/CC143929465.htm,广州视源电子科技股份有限公司,9000-15000
NLP（自然语言处理工程师）,http://company.zhaopin.com/CC216494030.htm,顺丰科技有限公司,面议
测试工程师,http://special.zhaopin.com/2017/gz/11242/whtz021321,PPmoney万惠集团,10000-20000
机器学习工程师/数据挖掘,http://special.zhaopin.com/sh/2014/11109/ztxjr052834,中腾信金融信息服务(上海)有限公司,14000-28000
语音识别工程师,http://company.zhaopin.com/CZ281374080.htm,深圳双猴科技有限公司,20001-30000
小程序前端开发工程师,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%A4%A9%E7%8E%96%E9%9A%86%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC264886718.htm,深圳市天玖隆科技有限公司,8001-10000
运维工程师,http://company.zhaopin.com/CC404703581.htm,新译信息科技(北京)有限公司,8000-15000
实施工程师,http://company.zhaopin.com/CC489043033.htm,华青融天(北京)技术股份有限公司深圳分公司,10000-15000
安全运维工程师,http://company.zhaopin.com/CC489043033.htm,华青融天(北京)技术股份有限公司深圳分公司,8000-15000
科技金融研究员,http://special.zhaopin.com/pagepublish/14524902/index.html,中山证券有限责任公司,15000-25000
嵌入式软件工程师（应届生）,http://company.zhaopin.com/P7/CC1453/7036/CC145370363.htm,萨基姆通讯(天津)有限公司深圳分公司,6001-8000
运维开发工程师,http://company.zhaopin.com/CC681981728.htm,深圳市悟云信息技术有限公司,6001-8000
深度学习算法工程师,http://company.zhaopin.com/CC419596331.htm,深圳市芊熠智能硬件有限公司,15000-30000
自动化测试工程师,http://special.zhaopin.com/pagepublish/16040791/index.html,深圳市汇合发展有限公司,6000-12000
ABAQUS二次开发工程师,http://company.zhaopin.com/CC211730510.htm,深圳市有限元科技有限公司,8000-16000
erlang(游戏）后端工程师,http://company.zhaopin.com/CC395095721.htm,北京微赢互动科技有限公司,10000-15000
数据分析师-00657,http://company.zhaopin.com/P10/CC1315/7709/CC131577094.htm,任子行网络技术股份有限公司,15001-20000
数字前端电路设计工程师,http://company.zhaopin.com/CZ722278740.htm,深圳市婉青纱服饰有限公司,8000-15000
java工程师,http://company.zhaopin.com/CC186002112.htm,深圳市捷为科技有限公司,10001-15000
运维工程师,http://special.zhaopin.com/pagepublish/16040791/index.html,深圳市汇合发展有限公司,8000-12000
数据研发工程师（容器化方向）,http://company.zhaopin.com/P3/CC2695/4942/CC269549425.htm,厦门美图网科技有限公司,18000-36000
高级测试工程师（测试TL）(002575),http://company.zhaopin.com/P2/CC0006/0371/CC000603711.htm,卓望数码技术（深圳）有限公司,12000-20000
数据挖掘分析师,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%8D%8E%E5%82%B2%E6%95%B0%E6%8D%AE%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC353072427.htm,深圳市华傲数据技术有限公司,15000-25000
自然语言处理研发工程师,http://company.zhaopin.com/CC404703581.htm,新译信息科技(北京)有限公司,30001-50000
图像算法工程师,http://company.zhaopin.com/CC265748338.htm,深圳市尊视激光科技有限公司,10001-15000
应用运维高级开发工程师（人工智能）,http://company.zhaopin.com/CC216494030.htm,顺丰科技有限公司,15000-30000
运维开发工程师（高级）,http://company.zhaopin.com/CC216494030.htm,顺丰科技有限公司,面议
技术支持/系统工程师(深圳),http://company.zhaopin.com/P10/CC0001/8289/CC000182890.htm,南凌科技股份有限公司,12000-16000
数据分析,http://company.zhaopin.com/CC508620126.htm,中软国际科技服务有限公司,8000-13000
JAVA(人工智能）,http://company.zhaopin.com/CC120137343.htm,同方鼎欣科技股份有限公司,12000-20000
System测试工程师,http://company.zhaopin.com/CC483710523.htm,小米通讯技术有限公司,15001-20000
数据分析师,http://company.zhaopin.com/CC147087802.htm,厦门吉比特网络技术股份有限公司,10001-15000
Android测试开发工程师-深圳,http://company.zhaopin.com/CC483710523.htm,小米通讯技术有限公司,10000-20000
JAVA后端（区块链项目）,http://company.zhaopin.com/CC551385531.htm,深圳市荣科信息咨询有限公司,20000-35000
前端IT工程师,http://company.zhaopin.com/P1/CC1475/3090/CC147530906.htm,国信证券有限责任公司深圳泰然九路证券营业部,20001-30000
Java开发经理/组长-GJKK,http://company.zhaopin.com/CC455933788.htm,深圳瀚德金融控股有限公司,20001-30000
爬虫工程师（深圳）,http://company.zhaopin.com/CC466965980.htm,深圳市芒柠科技有限公司,10000-18000
游戏测试工程师,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,8000-12000
软件测试工程师,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,8000-15000
前端开发工程师,http://company.zhaopin.com/CC264636718.htm,500.com集团,14000-24000
数据开发工程师,http://company.zhaopin.com/CC476784710.htm,众安在线财产保险股份有限公司,14000-25000
大数据开发,http://company.zhaopin.com/CC508620126.htm,中软国际科技服务有限公司,15000-25000
网站运维工程师,http://company.zhaopin.com/CC426256413.htm,深圳市环球易购电子商务有限公司,8001-10000
高级性能测试工程师,http://company.zhaopin.com/CC426256413.htm,深圳市环球易购电子商务有限公司,20001-30000
爬虫工程师,http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,15001-20000
Go工程师（深圳）,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,15000-30000
算法工程师,http://special.zhaopin.com/2017/shz/11253/szsr022755,深圳市锐明技术股份有限公司,20001-30000
广告数据分析师,http://company.zhaopin.com/CC147087802.htm,厦门吉比特网络技术股份有限公司,15001-20000
软件工程师（深圳）,http://xiaoyuan.zhaopin.com/subcompany/CC000140409D90000001000,普联技术,面议
IT软件工程师,http://xiaoyuan.zhaopin.com/subcompany/CC000140409D90000001000,普联技术,面议
云计算测试工程师,http://xiaoyuan.zhaopin.com/subcompany/CC000140409D90000001000,普联技术,面议
云平台运维工程师,http://xiaoyuan.zhaopin.com/subcompany/CC000140409D90000001000,普联技术,面议
系统测试工程师,http://xiaoyuan.zhaopin.com/subcompany/CC000140409D90000001000,普联技术,面议
运维工程师（深圳）,http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,6000-10000
软件测试工程师,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E7%88%B1%E8%B4%9D%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC241130528.htm,深圳市爱贝信息技术有限公司,8000-15000
后端工程师,http://company.zhaopin.com/CZ444370030.htm,北京舟济科技有限公司,15000-30000
高级自动化测试工程师,http://company.zhaopin.com/P10/CC1208/3949/CC120839499.htm,北京银信长远科技股份有限公司,14000-20000
博士后研究人员（AI系统研究方向）,http://company.zhaopin.com/CC253457535.htm,深圳市华商龙商务互联科技有限公司,10000-20000
资深技术美术,http://company.zhaopin.com/CC147087802.htm,厦门吉比特网络技术股份有限公司,30000-50000
自动化测试工程师,http://company.zhaopin.com/P10/CC1208/3949/CC120839499.htm,北京银信长远科技股份有限公司,10000-16000
Java中高级开发工程师,http://company.zhaopin.com/CC508620126.htm,中软国际科技服务有限公司,10000-20000
软件测试周末班兼职讲师,http://special.zhaopin.com/pagepublish/22727378/index.html,深圳市泽林信息咨询有限公司,1200-2400
AI人工智能10K起,http://company.zhaopin.com/CC431607237.htm,深圳尚睿达信息技术有限公司,10001-15000
系统测试工程师,http://company.zhaopin.com/CZ120073810.htm,普联技术有限公司,10000-18000
数据分析师,http://company.zhaopin.com/P6/CC1206/1955/CC120619558.htm,梦网荣信科技集团股份有限公司,10000-20000
软件测试开发工程师,http://company.zhaopin.com/CC199532817.htm,深圳开立生物医疗科技股份有限公司,10000-16000
IT软件工程师,http://company.zhaopin.com/CZ120073810.htm,普联技术有限公司,10000-20000
Docker运维工程师,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10001-15000
系统运维经理,http://company.zhaopin.com/CZ178645310.htm,中原地产代理(深圳)有限公司,15001-20000
业务运维工程师,http://company.zhaopin.com/CC224679518.htm,深圳市彬讯科技有限公司,15000-25000
网络优化工程师,http://company.zhaopin.com/CZ120073810.htm,普联技术有限公司,8000-14000
JAVA后台开发工程师,http://company.zhaopin.com/CZ120073810.htm,普联技术有限公司,10000-20000
系统测试工程师（智能家居）,http://company.zhaopin.com/CZ120073810.htm,普联技术有限公司,10000-20000
移动端开发主管,http://special.zhaopin.com/sz/2014/11026/gkjk011326,深圳市共济科技有限公司,20001-30000
C++技术研发工程师,http://company.zhaopin.com/CC193586618.htm,华强方特文化科技集团股份有限公司,8000-15000
高级运维工程师,http://company.zhaopin.com/CC620797421.htm,北京火币天下网络技术有限公司,15000-25000
运维工程师,http://special.zhaopin.com/pagepublish/44808453/index.html,北京网宿科技有限公司,8000-15000
linux运维工程师,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10001-15000
数字后端电路设计工程师,http://company.zhaopin.com/CZ722278740.htm,深圳市婉青纱服饰有限公司,8000-15000
前端开发工程师,http://special.zhaopin.com/pagepublish/44808453/index.html,北京网宿科技有限公司,10000-20000
游戏测试工程师（自动化）,http://special.zhaopin.com/pagepublish/65809772/index.html,深圳市星河互动科技有限公司,15000-30000
高级运维工程师,http://company.zhaopin.com/CC568943826.htm,广东乐心医疗电子股份有限公司,20000-25000
高级系统测试工程师,http://company.zhaopin.com/CZ389421730.htm,恒大地产集团珠三角房地产开发有限公司,14000-28000
JAVA开发工程师--运营开发组,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%88%9B%E4%B8%9A%E5%8D%B0%E7%AB%A0%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC148401432.htm,深圳市创业印章科技有限公司,8000-13000
数据开发工程师,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E7%88%B1%E8%B4%9D%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC241130528.htm,深圳市爱贝信息技术有限公司,10001-15000
golang高级工程师,http://special.zhaopin.com/sz/2014/11026/gkjk011326,深圳市共济科技有限公司,20001-30000
研发工程师（MySQL数据库方向）,http://company.zhaopin.com/%E4%BC%98%E8%B4%AD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC420891816.htm,优购科技有限公司,10000-20000
人工智能测试员,http://special.zhaopin.com/pagepublish/25281148/index.html,深圳腾尚时代信息科技有限公司,10001-15000
高级研发工程师（MySQL数据库方向）,http://company.zhaopin.com/%E4%BC%98%E8%B4%AD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC420891816.htm,优购科技有限公司,15000-30000
C/C++/GO开发,http://company.zhaopin.com/CC387663788.htm,深圳前海橙色魔方信息技术有限公司,10000-15000
数据安全工程师/DBA,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%88%9B%E4%B8%9A%E5%8D%B0%E7%AB%A0%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC148401432.htm,深圳市创业印章科技有限公司,15001-20000
安全策略工程师,http://company.zhaopin.com/CZ447244520.htm,深圳市富途网络科技有限公司,15000-30000
FS测试工程师,http://company.zhaopin.com/CC216494030.htm,顺丰科技有限公司,面议
后端工程师,http://company.zhaopin.com/CZ723834490.htm,佛山市万城合一科技有限公司,15000-25000
测试开发,http://company.zhaopin.com/CZ447244520.htm,深圳市富途网络科技有限公司,10000-20000
前端工程师,http://company.zhaopin.com/CZ723834490.htm,佛山市万城合一科技有限公司,15000-25000
web前端工程师（深圳）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,10000-18000
软件测试工程师（深圳）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,10000-15000
软件售前技术支持工程师,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E7%9D%BF%E6%99%BA%E8%9E%8D%E7%A7%91%E6%8E%A7%E8%82%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC446509726.htm,北京睿智融科控股有限公司,6001-8000
高级JAVA工程师,http://company.zhaopin.com/CC273851689.htm,深圳市神州路路通网络科技有限公司,15000-30000
大数据挖掘工程师,http://company.zhaopin.com/CZ297562010.htm,深圳市名通科技股份有限公司,15000-30000
PHP开发工程师,http://company.zhaopin.com/CZ447244520.htm,深圳市富途网络科技有限公司,15000-25000
自动化测试工程师,http://company.zhaopin.com/CC644543437.htm,深圳市森特网发展有限公司,10001-15000
算法工程师,http://company.zhaopin.com/P3/CC3634/5592/CC363455927.htm,深圳市都市交通规划设计研究院有限公司,20001-30000
Go工程师（深圳）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,10000-20000
C++,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E4%B9%90%E6%98%93%E7%BD%91%E7%BB%9C%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC495056821.htm,深圳市乐易网络股份有限公司,8000-16000
客户代表 技术支持 客户顾问,http://company.zhaopin.com/CZ271117530.htm,深圳米筐科技有限公司,9000-18000
网络开发工程师-深圳-00939,http://special.zhaopin.com/pagepublish/44808453/index.html,北京网宿科技有限公司,10000-20000
算法工程师,http://company.zhaopin.com/%E6%B7%B1%E5%9C%B3%E5%B8%82%E8%B5%9B%E4%B8%BA%E6%99%BA%E8%83%BD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC172909225.htm,深圳市赛为智能股份有限公司,10000-20000
软件测试实习生,http://company.zhaopin.com/CZ656599420.htm,深圳市海枫科技有限公司,3000-5000
高级Java工程师,http://special.zhaopin.com/sz/2014/11017/zxfinance022574,深圳中兴飞贷金融科技有限公司,15001-20000
高级后端开发工程师,http://company.zhaopin.com/CZ341026430.htm,深圳市前海汇流信息科技有限公司,30000-40000
高级游戏后端开发工程师,http://company.zhaopin.com/P9/CC1372/6158/CC137261580.htm,深圳市东方博雅科技有限公司,30000-50000
